Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,TotalDue,LoanAmountTerm,CreditHistory,PropertyArea,LoanStatus,Purpose,PaidMin,PaidHour,PaidDay,PaidMonth,DueMonth,DueDay,EffectiveDay
0,1,2,1,0,4006,1526,10000,13000,360.0,1,1,1,0,0,16,10,8,8,10,9
0,1,1,1,1,1000,3022,40000,44800,360.0,1,1,0,0,0,9,10,10,10,10,9
0,1,0,0,0,2333,1516,30000,39000,360.0,1,1,1,2,7,23,10,7,8,10,9
0,1,4,0,1,3333,2166,10000,11500,360.0,0,3,1,2,0,9,10,10,10,10,9
0,1,0,1,0,1828,1330,10000,13000,360.0,1,1,0,1,0,16,10,10,10,10,9
0,1,2,1,0,6250,5654,10000,13000,180.0,1,3,1,3,0,9,17,9,9,17,9
0,1,0,1,0,2132,1591,20000,24500,360.0,1,3,1,0,0,9,10,10,10,10,9
0,1,0,0,0,4188,0,40000,44000,180.0,1,3,1,0,1,9,10,10,10,10,9
1,1,1,1,1,11500,0,10000,13000,360.0,1,1,0,3,0,16,10,10,10,10,9
0,1,0,1,0,3941,2336,10000,13000,360.0,1,3,1,3,0,15,20,9,9,25,9
1,1,0,0,0,1928,1644,10000,11500,360.0,1,3,1,2,0,13,25,9,9,25,9
0,0,0,0,0,3200,2254,10000,11500,180.0,1,1,0,0,4,12,10,8,10,10,9
0,1,1,1,0,5649,0,20000,22250,360.0,1,1,1,0,14,14,10,8,10,10,9
0,1,1,1,0,10750,0,10000,11500,360.0,1,1,1,3,0,9,10,10,10,10,9
0,1,4,1,0,3029,0,30000,39000,360.0,1,1,1,0,42,13,24,9,9,25,9
1,1,0,1,0,2484,2302,40000,44800,360.0,0,3,1,1,38,5,20,9,9,25,9
0,1,4,1,0,3167,4000,30000,34400,300.0,0,3,0,3,29,14,30,9,10,10,9
0,0,0,1,0,1800,1213,20000,24500,360.0,1,1,1,0,36,14,25,9,9,25,9
0,1,1,1,0,8080,2250,10000,11500,360.0,1,1,1,3,40,11,24,9,9,25,9
1,1,0,1,0,2645,3440,10000,13000,360.0,1,1,0,3,0,9,10,10,10,10,9
0,0,0,1,0,2366,2531,10000,11500,360.0,1,3,1,4,0,9,11,9,9,11,9
0,1,0,1,0,3366,2200,20000,23800,360.0,1,0,0,0,33,2,10,7,10,10,9
0,0,0,1,0,3750,0,30000,32250,480.0,1,1,0,3,12,13,10,8,10,10,9
0,0,1,1,1,4692,0,10000,13000,360.0,1,0,0,3,44,17,10,9,10,10,9
0,0,0,1,0,4133,0,10000,13000,360.0,0,3,1,2,43,12,21,9,9,25,9
0,1,2,0,0,3357,2859,10000,11500,360.0,1,1,1,2,38,6,22,9,9,25,9
0,1,1,1,0,4945,0,10000,13000,360.0,0,0,0,4,40,11,9,12,10,10,9
0,1,0,1,0,6000,2250,10000,13000,360.0,1,3,0,7,0,13,25,9,9,25,9
1,1,0,1,0,3667,1459,20000,24500,360.0,1,3,1,0,0,13,25,9,9,25,9
1,0,2,1,0,3750,2083,10000,11500,360.0,0,3,1,4,33,17,10,9,10,10,9
0,1,1,1,0,4583,1508,10000,13000,360.0,1,0,0,0,0,9,10,7,7,10,9
1,0,0,1,0,4230,0,20000,24500,360.0,1,3,0,0,34,4,13,9,9,25,9
0,1,1,1,0,5955,5625,30000,34400,360.0,0,1,1,0,9,17,10,8,9,10,9
0,1,0,1,1,3000,0,20000,23800,360.0,1,1,1,1,58,16,25,9,7,10,9
0,1,2,0,0,3365,1917,20000,21900,360.0,1,0,0,3,0,13,24,9,9,24,9
0,1,0,1,0,2500,2118,10000,13000,360.0,1,3,1,1,1,13,17,9,10,10,9
0,1,0,1,0,2958,2900,20000,24500,360.0,1,3,1,0,0,9,25,9,9,25,9
0,1,4,1,1,5266,1774,10000,13000,360.0,1,3,1,1,0,9,25,9,9,25,9
0,1,2,0,0,3333,2000,10000,13000,360.0,1,3,1,2,0,9,10,10,10,10,9
1,1,2,1,0,1378,1881,10000,11125,360.0,1,1,0,4,0,9,25,9,9,25,9
0,1,0,0,0,7660,0,30000,34400,360.0,1,1,0,3,0,9,10,9,9,10,9
0,1,0,1,0,2500,3796,10000,13000,360.0,0,1,1,4,12,21,30,9,10,10,9
0,1,2,0,1,1875,1875,30000,34400,360.0,1,3,1,0,53,22,24,9,9,25,9
0,1,2,1,0,1299,1086,30000,34400,120.0,1,1,1,3,27,14,15,9,9,16,9
0,1,2,0,0,3273,1820,10000,13000,360.0,1,1,1,0,12,0,24,9,9,25,9
1,0,0,1,0,3086,0,10000,13000,360.0,0,3,1,3,0,9,10,10,10,10,9
